Name,Protocol - Chain,Base_APY_$,Reward_APY_%,Rewards,APY_%,7d_ago_%,TVL_$
MAIUSDTUSDC,Balancer-Arbitrum,0.09,16.96,,17.05,3.0,134631
MIMUSDC,Beefy-Fantom,13.26,0.0,,13.26,3.0,307144
USDT,cBridge-Ethereum,1.85,10.79,,12.64,3.0,1234089
MIM,Tarot-Fantom,11.76,0.0,,11.76,3.0,28962
USDC,cBridge-Ethereum,4.29,7.02,,11.31,3.0,2277632
TORDAIUSDC,Beefy-Fantom,10.68,0.0,,10.68,3.0,11892097
MAI,Tarot-Fantom,10.64,0.0,,10.64,3.0,469913
TORDAIUSDC,Hector-Fantom,0.0,10.62,,10.62,3.0,15458041
DOLAUSDC,Uniswap-Ethereum,10.2,0.0,,10.2,3.0,295861
USDC,Tarot-Fantom,10.02,0.0,,10.02,3.0,33836
USDTUSDC,VVS-Cronos,0.03,9.45,,9.47,3.0,233760000
USDC,cBridge-Arbitrum,1.16,8.15,,9.32,3.0,1959747
USDC,cBridge-Optimism,0.21,9.02,,9.23,3.0,1402693
USDT,cBridge-Optimism,0.46,8.73,,9.2,3.0,1448111
USDT,cBridge-Fantom,0.0,9.06,,9.06,3.0,881541
USDC,Maple-Ethereum,7.19,1.75,,8.94,3.0,529750000
DAI,Vires-Waves,8.83,0.02,,8.85,3.0,43428
USDC,Maple-Ethereum,7.08,1.75,,8.83,3.0,559050400
MAIUSDT,Beefy-Polygon,8.43,0.0,,8.43,3.0,239879
MIMUSDCUSDT,Beefy-Arbitrum,8.43,0.0,,8.43,3.0,8435396
BUSDJCHF,Ellipsis-BNB Chain,0.0,8.4,,8.4,3.0,1790032
FRAXUSDCBUSDUSDT,Beefy-Moonriver,8.29,0.0,,8.29,3.0,400754
USDC,Tarot-Fantom,8.1,0.0,,8.1,3.0,130242
BUSDUSDCTUSD,ACryptoS-BNB Chain,2.32,5.76,,8.08,3.0,156000
USDC,cBridge-Aurora,0.09,7.78,,7.86,3.0,684890
VAIBUSD,Alpaca-BNB Chain,6.18,30.14,,7.75,3.0,47196
DAIUSDCUSDTHUSD,Autofarm-Heco,7.61,0.0,,7.61,3.0,1261761
DAIUSDCUSDTHUSD,Belt-Heco,0.0,7.56,,7.56,3.0,1500000
FRAXUSDC,Autofarm-Moonriver,7.46,0.0,,7.46,3.0,33981
USDC,Tarot-Fantom,7.38,0.0,,7.38,3.0,1468416
MIMUSDC.e,Sushi-Avalanche,7.35,0.0,,7.35,3.0,146335
USDC,Tarot-Fantom,7.33,0.0,,7.33,3.0,70322
BUSD,InsurAce-BNB Chain,0.0,7.23,,7.23,3.0,637986
USDC,Cream-BNB Chain,7.1,0.0,,7.1,3.0,85181
USDT,cBridge-Polygon,0.5,6.47,,6.97,3.0,2058187
USDT,cBridge-Arbitrum,0.07,6.74,,6.8,3.0,1976547
USDC,cBridge-BNB Chain,1.03,5.75,,6.78,3.0,2777230
USDC,InsurAce-Avalanche,0.0,6.66,,6.66,3.0,1506945
USDTBUSD,Autofarm-Cronos,6.61,0.0,,6.61,3.0,25578
HUSD,Belt-Heco,0.0,6.57,,6.57,3.0,900000
USDT,InsurAce-Polygon,0.0,6.35,,6.35,3.0,636107
USDC,InsurAce-BNB Chain,0.0,6.34,,6.34,3.0,193975
USDT.e,Cream-Avalanche,6.16,0.0,,6.16,3.0,854099
USDC,cBridge-Avalanche,0.14,5.95,,6.08,3.0,2686376
FRAXBUSD,Beefy-BNB Chain,6.08,0.0,,6.08,3.0,88807
USDT,InsurAce-BNB Chain,0.0,6.05,,6.05,3.0,423434
USDT,InsurAce-Avalanche,0.0,5.94,,5.94,3.0,824016
USDC,InsurAce-Polygon,0.0,5.92,,5.92,3.0,1583591
DAI,InsurAce-Polygon,0.0,5.89,,5.89,3.0,1091155
DAI,InsurAce-Ethereum,0.0,5.79,,5.79,3.0,961192
USDC,Venus-BNB Chain,5.05,0.72,,5.77,3.0,79761808
BUSDUSDTDAIMIM,ACryptoS-BNB Chain,0.21,5.48,,5.69,3.0,160000
FUSDTUSDC,ProtoFi-Fantom,0.0,5.63,,5.63,3.0,196058
USDTUSDC,Autofarm-Cronos,5.59,0.0,,5.59,3.0,124047
USDC,Tarot-Fantom,5.52,0.0,,5.52,3.0,35414
USDT,Stargate-Avalanche,0.0,5.49,,5.49,3.0,48141209
USDC,Stargate-Fantom,0.0,5.46,,5.46,3.0,19610936
MIM,Yearn-Ethereum,5.33,0.0,,5.33,3.0,762289
USDT,cBridge-Aurora,0.0,5.31,,5.31,3.0,1003295
TUSDUSDC,Autofarm-Cronos,5.2,0.0,,5.2,3.0,29940
DAI,InsurAce-Avalanche,0.0,5.15,,5.15,3.0,1112668
DAIUSDC,Autofarm-Fantom,5.09,0.0,,5.09,3.0,66552
USDT,cBridge-BNB Chain,0.78,4.3,,5.08,3.0,3096547
USDTBUSD,Alpaca-BNB Chain,3.53,1.43,,5.01,3.0,131296
ETH,Stargate-Optimism,0.0,4.98,,4.98,3.0,1200185
ETH,Stargate-Optimism,0.0,4.98,,4.98,3.0,1200185
BUSD,Vires-Waves,4.91,0.07,,4.98,3.0,99867
DOLA,Yearn-Ethereum,4.92,0.0,,4.92,3.0,170447
USDT,InsurAce-Ethereum,0.0,4.88,,4.88,3.0,1014520
USDC,Sturdy-Ethereum,4.88,0.0,,4.88,3.0,8624150
MAIUSDC,Beefy-Polygon,4.87,0.0,,4.87,3.0,8474914
USDC,InsurAce-Ethereum,0.0,4.77,,4.77,3.0,2528326
USDT,cBridge-Avalanche,0.04,4.71,,4.75,3.0,2825529
DAI,Sturdy-Ethereum,4.63,0.0,,4.63,3.0,612309
USDT,Sturdy-Ethereum,4.63,0.0,,4.63,3.0,211133
ETH,Stargate-Ethereum,0.0,4.58,,4.58,3.0,20855574
ETH,Stargate-Ethereum,0.0,4.58,,4.58,3.0,20855574
ETH,Stargate-Ethereum,0.0,4.58,,4.58,3.0,20855574
USDT,Benqi-Avalanche,4.55,0.0,,4.55,3.0,6290000
BUSD,Venus-BNB Chain,4.09,0.41,,4.5,3.0,141611928
USDC,cBridge-Polygon,0.55,3.93,,4.48,3.0,4064473
USDT,Cream-BNB Chain,4.47,0.0,,4.47,3.0,316417
BUSD,Cream-BNB Chain,4.47,0.0,,4.47,3.0,549114
USDT,Stargate-Polygon,0.0,4.35,,4.35,3.0,14932041
USDT,Stargate-Polygon,0.0,4.35,,4.35,3.0,14932041
USDC,cBridge-Astar,0.07,4.28,,4.34,3.0,1244572
USDC,StakeDAO-Ethereum,3.28,1.05,,4.33,3.0,2496686
USDC,Cream-Fantom,4.3,0.0,,4.3,3.0,317983
USDC,IronBank-Fantom,4.3,0.0,,4.3,3.0,317983
USDCBUSDUSDT,Beefy-Moonriver,4.16,0.0,,4.16,3.0,691163
USDTUSDC,Autofarm-Cronos,4.07,0.0,,4.07,3.0,316771
BUSD,Stargate-BNB Chain,0.0,4.06,,4.06,3.0,39046141
BUSD,Stargate-BNB Chain,0.0,4.06,,4.06,3.0,39046141
USDC,Cream-Avalanche,4.03,0.0,,4.03,3.0,495875
MAIDAI,Beefy-Polygon,3.96,0.0,,3.96,3.0,226751
TUSDBUSD,Alpaca-BNB Chain,1.02,10.81,,3.92,3.0,1053445
USDTUSDC,Beefy-Cronos,3.91,0.0,,3.91,3.0,335621
USDC,Alpaca-BNB Chain,3.58,0.32,,3.9,3.0,18201277
USDC.eDAI.e,Trader Joe-Avalanche,3.9,0.0,,3.9,3.0,55984
DAI,Venus-BNB Chain,2.61,1.28,,3.9,3.0,5388051
USDT,Aave-Optimism,2.32,1.57,,3.89,3.0,99158715
BUSD,cBridge-Ethereum,3.88,0.0,,3.88,3.0,70660
USDC.e,Cream-Avalanche,3.82,0.0,,3.82,3.0,2318240
USDTUSDCBUSDDAI,Belt-BNB Chain,0.0,3.8,,3.8,3.0,11700000
BUSDUSDT,MDEX-BNB Chain,0.2,3.54,,3.74,3.0,2645490
BUSDUSDT,Biswap-BNB Chain,0.07,3.59,,3.66,3.0,37406745
USDTUSDC,Beefy-Arbitrum,3.53,0.0,,3.53,3.0,6647108
USDCUSDT,Biswap-BNB Chain,0.06,3.45,,3.51,3.0,11690418
USDCTUSD,SpookySwap-Fantom,0.05,3.45,,3.5,3.0,880624
USDTBUSD,Autofarm-BNB Chain,3.49,0.0,,3.49,3.0,221117
USDC.eUSDC,Pangolin-Avalanche,0.42,3.0,,3.42,3.0,3590477
DAIUSDT,MDEX-Heco,0.64,2.76,,3.4,3.0,26585
USDCMAI,Beefy-Fantom,3.31,0.0,,3.31,3.0,1005658
USDT,Alpaca-BNB Chain,3.16,0.14,,3.3,3.0,76328304
USDCUSDT,Alpaca-BNB Chain,1.48,1.73,,3.23,3.0,33648
USDT,Venus-BNB Chain,2.84,0.37,,3.21,3.0,154199909
USDC,cBridge-Fantom,0.03,3.1,,3.13,3.0,2575437
USDT,Cream-Polygon,3.04,0.0,,3.04,3.0,22975
DAI,Aave-Optimism,2.2,0.83,,3.03,3.0,317322134
USDC,Tarot-Fantom,2.91,0.0,,2.91,3.0,116244
USDTBUSD,Beefy-BNB Chain,2.9,0.0,,2.9,3.0,610640
USDC,Tarot-Fantom,2.87,0.0,,2.87,3.0,164583
DAI,Yearn-Ethereum,2.87,0.0,,2.87,3.0,48371597
USDC,Belt-Heco,0.0,2.86,,2.86,3.0,200000
DAIUSDT,Uniswap-Polygon,2.84,0.0,,2.84,3.0,51784
USDt,Aave-Avalanche,2.34,0.49,,2.83,3.0,209054184
DAIUSDT,Biswap-BNB Chain,0.04,2.78,,2.82,3.0,1915735
USDC,Cream-Arbitrum,2.8,0.0,,2.8,3.0,36693
DAI,Belt-Heco,0.0,2.75,,2.75,3.0,200000
USDTUSDCBUSDDAI,Autofarm-BNB Chain,2.68,0.0,,2.68,3.0,431521
MAIUSDC,Balancer-Ethereum,0.08,2.59,,2.67,3.0,1641329
fUSDTUSDCDAI,Beefy-Fantom,2.65,0.0,,2.65,3.0,4555983
DAI,Cream-BNB Chain,2.64,0.0,,2.64,3.0,38453
USDTBUSD,Autofarm-BNB Chain,2.6,0.0,,2.6,3.0,560549
USDTUSDC,Autofarm-BNB Chain,2.59,0.0,,2.59,3.0,38144
USDTUSDCBUSDDAI,Autofarm-BNB Chain,2.59,0.0,,2.59,3.0,1395686
USDTBUSD,Autofarm-BNB Chain,2.57,0.0,,2.57,3.0,98163
USDC,Aave-Optimism,1.84,0.72,,2.56,3.0,587768365
ETH,Stargate-Arbitrum,0.0,2.51,,2.51,3.0,2372045
ETH,Stargate-Arbitrum,0.0,2.51,,2.51,3.0,2372045
DAI.e,Cream-Avalanche,2.51,0.0,,2.51,3.0,178258
USDCDAI,Beefy-Polygon,2.42,0.0,,2.42,3.0,96883
USDC,Yearn-Ethereum,2.38,0.0,,2.38,3.0,55528372
USDTBUSD,Beefy-BNB Chain,2.34,0.0,,2.34,3.0,50020
BUSD,Alpaca-BNB Chain,2.11,0.2,,2.31,3.0,93287425
HUSDUSDT,MDEX-Heco,1.1,1.19,,2.29,3.0,1178909
USDCUSDT,Beefy-Aurora,2.29,0.0,,2.29,3.0,55206
USDTUSDC,Autofarm-BNB Chain,2.29,0.0,,2.29,3.0,166584
USDTDAI,Uniswap-Optimism,2.27,0.0,,2.27,3.0,140453
fUSDT,Cream-Fantom,2.26,0.0,,2.26,3.0,49636
FUSDT,IronBank-Fantom,2.26,0.0,,2.26,3.0,49636
BUSD,cBridge-BNB Chain,2.21,0.0,,2.21,3.0,139348
BUSD,ACryptoS-BNB Chain,2.19,0.0,,2.19,3.0,105000
USDCDAI,Autofarm-Polygon,2.17,0.0,,2.17,3.0,51039
USDCUSDT,Beefy-Polygon,2.17,0.0,,2.17,3.0,156431
DAI,Sturdy-Fantom,2.16,0.0,,2.16,3.0,47135
USDC,Sturdy-Fantom,2.16,0.0,,2.16,3.0,328573
DAIBUSD,Beefy-BNB Chain,2.14,0.0,,2.14,3.0,20603
USDTUSDC,Beefy-BNB Chain,2.09,0.0,,2.09,3.0,277556
USDCBUSD,Beefy-BNB Chain,2.08,0.0,,2.08,3.0,1935567
USDCDAI,Beefy-Polygon,2.08,0.0,,2.08,3.0,872982
DAI,Benqi-Avalanche,2.08,0.0,,2.08,3.0,23780000
EURS,Aave-Arbitrum,2.0,0.0,,2.0,3.0,36190
BUSD,Belt-BNB Chain,0.0,2.0,,2.0,3.0,3300000
USDT,Belt-Heco,0.0,1.97,,1.97,3.0,200000
DAI.e,Aave-Avalanche,1.04,0.93,,1.96,3.0,98290678
USDC,Vires-Waves,1.82,0.11,,1.92,3.0,72511424
USDT,Vires-Waves,1.82,0.1,,1.92,3.0,30389312
USDCBUSD,Autofarm-BNB Chain,1.86,0.0,,1.86,3.0,42764
DAIUSDT,MDEX-BNB Chain,0.09,1.74,,1.84,3.0,61054
USDT,ACryptoS-BNB Chain,1.79,0.0,,1.79,3.0,22600
DAI,Compound-Ethereum,0.98,0.81,,1.78,3.0,391582875
MAIBUSDUSDCUSDT,Ellipsis-BNB Chain,0.0,1.77,,1.77,3.0,791273
USDC,Cream-Polygon,1.76,0.0,,1.76,3.0,111976
USDTBUSD,Beefy-BNB Chain,1.76,0.0,,1.76,3.0,1197385
TUSD,Venus-BNB Chain,1.42,0.3,,1.72,3.0,15302317
DAIUSDTUSDC,Balancer-Arbitrum,1.68,0.0,,1.68,3.0,976838
USDCMAI,SpookySwap-Fantom,0.12,1.55,,1.67,3.0,1694963
TUSDUSDC,Beefy-Fantom,1.66,0.0,,1.66,3.0,182477
USDC,Aave-Avalanche,0.91,0.73,,1.64,3.0,683767633
MIM,Yearn-Fantom,1.64,0.0,,1.64,3.0,215266
DAIUSDT,Autofarm-BNB Chain,1.61,0.0,,1.61,3.0,56734
cUSDUSDC,Beefy-Celo,1.57,0.0,,1.57,3.0,22410
DAIUSDT,Uniswap-Arbitrum,1.53,0.0,,1.53,3.0,196066
USDT,Aave-Polygon,1.53,0.0,,1.53,3.0,4630522
jEUR,Aave-Polygon,1.52,0.0,,1.52,3.0,844967
USDCFRAX,Uniswap-Polygon,1.48,0.0,,1.48,3.0,38354
USDT,Belt-BNB Chain,0.0,1.46,,1.46,3.0,3300000
MIM,IronBank-Fantom,1.45,0.0,,1.45,3.0,31681
MIM,Cream-Fantom,1.44,0.0,,1.44,3.0,31681
USDCUSDT,Curve-Arbitrum,0.04,1.4,,1.44,3.0,25600000
FRAXUSDC,Curve-Ethereum,0.04,1.36,,1.4,3.0,836100000
TUSD,Valas-BNB Chain,0.37,0.98,,1.35,3.0,1140000
USDT.eDAI.e,Trader Joe-Avalanche,1.34,0.0,,1.34,3.0,112716
DAIUSDT,Uniswap-Ethereum,1.32,0.0,,1.32,3.0,1036555
fUSDT,Tarot-Fantom,1.31,0.0,,1.31,3.0,21941
USDC,Compound-Ethereum,0.74,0.54,,1.28,3.0,634719588
USDTUSDC,Raydium-Solana,1.28,0.0,,1.28,3.0,182753
USDCUSDT,Uniswap-Optimism,1.26,0.0,,1.26,3.0,966294
DAI,Aave-Polygon,1.26,0.0,,1.26,3.0,3446193
USDCUSDT,Uniswap-Polygon,1.24,0.0,,1.24,3.0,2785909
BUSDUSDT,Uniswap-Ethereum,1.23,0.0,,1.23,3.0,307149
USDT,Aave-Ethereum,1.22,0.0,,1.22,3.0,442633183
GUSDUSDC,Uniswap-Ethereum,1.22,0.0,,1.22,3.0,577266
USDC,Aave-Polygon,1.21,0.0,,1.21,3.0,27476320
DAIUSDCUSDT,Beefy-Polygon,1.2,0.0,,1.2,3.0,1403768
FRAXUSDC,Uniswap-Ethereum,1.1,0.0,,1.1,3.0,3072261
USDTUSDC,Uniswap-Arbitrum,1.06,0.0,,1.06,3.0,2792063
Balancer Stable USD,Balancer-Ethereum,0.62,0.42,,1.04,3.0,7744958
FRAXUSDC,Sushi-Moonriver,1.03,0.0,,1.03,3.0,43667
BUSDUSDC,Beefy-BNB Chain,1.01,0.0,,1.01,3.0,128026
USDC.eUSDT.e,Pangolin-Avalanche,0.01,1.0,,1.01,3.0,51902
DAI,IronBank-Fantom,1.01,0.0,,1.01,3.0,275044
DAI,Cream-Fantom,1.01,0.0,,1.01,3.0,275043
USDCUSDT,Autofarm-Polygon,0.94,0.0,,0.94,3.0,85274
USDT,Aave-Polygon,0.94,0.0,,0.94,3.0,20852134
USDC,Tarot-Fantom,0.92,0.0,,0.92,3.0,238596
USDT,Yearn-Ethereum,0.92,0.0,,0.92,3.0,17361204
USDC.eUSDT.e,Trader Joe-Avalanche,0.91,0.0,,0.91,3.0,160091
MIMUSDC.e,Trader Joe-Avalanche,0.82,0.0,,0.82,3.0,78026
USDCUSDT,Uniswap-Polygon,0.82,0.0,,0.82,3.0,591260
USDT.E,Aave-Avalanche,0.79,0.0,,0.79,3.0,12704315
FEIUSDC,Uniswap-Ethereum,0.78,0.0,,0.78,3.0,147432
DAI,Aave-Arbitrum,0.77,0.0,,0.77,3.0,1391911
USDCDAI,Beefy-Fantom,0.77,0.0,,0.77,3.0,35023
USDCfUSDT,SpookySwap-Fantom,0.75,0.0,,0.75,3.0,112240
USDT,Yearn-Fantom,0.72,0.0,,0.72,3.0,97819
USDC,Benqi-Avalanche,0.72,0.0,,0.72,3.0,9040000
USDC,Benqi-Avalanche,0.72,0.0,,0.72,3.0,9040000
USDT,Aave-Arbitrum,0.69,0.0,,0.69,3.0,1523701
USDCUSDT,Uniswap-Ethereum,0.67,0.0,,0.67,3.0,147742687
DAI,Aave-Ethereum,0.65,0.0,,0.65,3.0,216246780
USDCMIM,Sushi-Fantom,0.65,0.0,,0.65,3.0,215617
USDTBUSD,PancakeSwap-BNB Chain,0.65,0.0,,0.65,3.0,189573296
DAIUSDC,Sushi-Ethereum,0.63,0.0,,0.63,3.0,53911
USDCFRAX,Autofarm-Fantom,0.63,0.0,,0.63,3.0,41017
USDC,Yearn-Fantom,0.61,0.0,,0.61,3.0,4302345
USDCFRAX,Uniswap-Polygon,0.59,0.0,,0.59,3.0,113435
USDCDAI,Uniswap-Optimism,0.59,0.0,,0.59,3.0,2740639
USDC,Aave-Ethereum,0.59,0.0,,0.59,3.0,1192133092
GUSD,Aave-Ethereum,0.58,0.0,,0.58,3.0,8607240
TUSD,Aave-Ethereum,0.58,0.0,,0.58,3.0,43479017
USDP,Aave-Ethereum,0.57,0.0,,0.57,3.0,885562
DAI,Yearn-Fantom,0.57,0.0,,0.57,3.0,5886335
DAI,Aave-Polygon,0.57,0.0,,0.57,3.0,33502294
BUSDUSDC,Uniswap-Ethereum,0.55,0.0,,0.55,3.0,1674006
USDC,Aave-Polygon,0.54,0.0,,0.54,3.0,86026227
MIMUSDC,Uniswap-Ethereum,0.53,0.0,,0.53,3.0,165080
USDCEURs,Curve-Ethereum,0.01,0.51,,0.52,3.0,63500000
USDCUSDT,MDEX-Heco,0.05,0.47,,0.52,3.0,155181
DAIBUSD,PancakeSwap-BNB Chain,0.52,0.0,,0.52,3.0,7981963
FRAXUSDT,Uniswap-Ethereum,0.52,0.0,,0.52,3.0,7862322
DAIUSDT,Uniswap-Ethereum,0.51,0.0,,0.51,3.0,1371675
USDCUSDT,Uniswap-Ethereum,0.51,0.0,,0.51,3.0,13644823
USDCBUSD,VVS-Cronos,0.5,0.0,,0.5,3.0,11880000
USDCUSDT,Autofarm-Polygon,0.5,0.0,,0.5,3.0,21084
USDCUSDT,Beefy-Polygon,0.48,0.0,,0.48,3.0,99047
GUSD,Yearn-Ethereum,0.48,0.0,,0.48,3.0,573802
USDC.E,Aave-Avalanche,0.48,0.0,,0.48,3.0,24997970
BUSD,Aave-Ethereum,0.46,0.0,,0.46,3.0,25601714
USDCDAI,Uniswap-Polygon,0.46,0.0,,0.46,3.0,2690535
FRAX,Aave-Ethereum,0.45,0.0,,0.45,3.0,28851065
USDC.eUSDC,Trader Joe-Avalanche,0.44,0.0,,0.44,3.0,16886699
DAIUSDCUSDT,Curve-Ethereum,0.06,0.38,,0.44,3.0,856500000
USDCUSDT,Uniswap-Optimism,0.42,0.0,,0.42,3.0,103007
USDC,Aave-Arbitrum,0.42,0.0,,0.42,3.0,18293419
USDCDAI,Uniswap-Polygon,0.41,0.0,,0.41,3.0,197308
USDCDAI,Uniswap-Optimism,0.39,0.0,,0.39,3.0,862812
DAIUSDT,Uniswap-Ethereum,0.37,0.0,,0.37,3.0,6827008
USDCUSDT,MDEX-BNB Chain,0.01,0.34,,0.34,3.0,9900840
EURssEUR,Curve-Ethereum,0.02,0.32,,0.34,3.0,6600000
FRAXUSDC,Beefy-Fantom,0.34,0.0,,0.34,3.0,99340
USDCUSDT,Beefy-Fuse,0.33,0.0,,0.33,3.0,37196
USDCBUSD,PancakeSwap-BNB Chain,0.33,0.0,,0.33,3.0,99678428
USDCDAI,Beefy-Polygon,0.33,0.0,,0.33,3.0,23750
USDTUSDC,Autofarm-BNB Chain,0.32,0.0,,0.32,3.0,47641
DAI.E,Aave-Avalanche,0.31,0.0,,0.31,3.0,16873732
TUSD,Alpaca-BNB Chain,0.15,0.16,,0.31,3.0,8775885
DAI,Valas-BNB Chain,0.08,0.22,,0.3,3.0,4030000
USDCMIM,SpookySwap-Fantom,0.24,0.0,,0.24,3.0,422775
MIMUSDCfUSDT,Beefy-Fantom,0.24,0.0,,0.24,3.0,5349243
USDTUSDC,PancakeSwap-BNB Chain,0.22,0.0,,0.22,3.0,56326983
USDC,Valas-BNB Chain,0.06,0.16,,0.22,3.0,7110000
fUSDTUSDC,Beefy-Fantom,0.22,0.0,,0.22,3.0,120510
DAIUSDC,Uniswap-Arbitrum,0.22,0.0,,0.22,3.0,3856835
DAIUSDT,Uniswap-Polygon,0.21,0.0,,0.21,3.0,26237
USDT,Valas-BNB Chain,0.06,0.14,,0.2,3.0,7060000
USDtUSDT.e,Trader Joe-Avalanche,0.2,0.0,,0.2,3.0,1213710
USDCDAI,SpookySwap-Fantom,0.19,0.0,,0.19,3.0,221407
USDT,ACryptoS-BNB Chain,0.18,0.0,,0.18,3.0,488000
DAIUSDCUSDT,Curve-Optimism,0.09,0.09,,0.18,3.0,17300000
USDCUSDT,Uniswap-Ethereum,0.18,0.0,,0.18,3.0,24522658
USDCTUSDDAIUSDT,Balancer-Polygon,0.17,0.0,,0.17,3.0,238809
BUSD,Valas-BNB Chain,0.02,0.13,,0.15,3.0,8390000
USDCUSDT,Beefy-Polygon,0.15,0.0,,0.15,3.0,121046
USDTUSDC,Sushi-Moonriver,0.12,0.0,,0.12,3.0,97177
TUSDUSDC,Uniswap-Arbitrum,0.12,0.0,,0.12,3.0,1905387
DAIUSDC,Beefy-Fantom,0.11,0.0,,0.11,3.0,164208
USDTUSDC,Saber-Solana,0.1,0.0,,0.1,3.0,6386836
FRAX,Aave-Avalanche,0.09,0.0,,0.09,3.0,158468
DAIUSDC,Curve-Fantom,0.04,0.04,,0.08,3.0,10800000
fUSDT,Tarot-Fantom,0.08,0.0,,0.08,3.0,102715
VAIBUSD,PancakeSwap-BNB Chain,0.07,0.0,,0.07,3.0,2300395
TUSD,Tarot-Fantom,0.07,0.0,,0.07,3.0,21121
DAIUSDC,Saber-Solana,0.07,0.0,,0.07,3.0,414813
FRAXUSDC,Uniswap-Optimism,0.07,0.0,,0.07,3.0,1137967
MAIUSDC,Saber-Solana,0.02,0.04,,0.06,3.0,49360
DAIUSDC,Uniswap-Ethereum,0.04,0.0,,0.04,3.0,49700812
DAI,Tarot-Fantom,0.04,0.0,,0.04,3.0,26054
DAIUSDC,Uniswap-Ethereum,0.04,0.0,,0.04,3.0,782778670
TUSDBUSD,PancakeSwap-BNB Chain,0.03,0.0,,0.03,3.0,8228420
USDC,Belt-BNB Chain,0.0,0.03,,0.03,3.0,2500000
USDC,Tarot-Fantom,0.03,0.0,,0.03,3.0,152445
FRAXUSDC,Uniswap-Ethereum,0.03,0.0,,0.03,3.0,223544
USDC,Tarot-Fantom,0.02,0.0,,0.02,3.0,121196
MAIUSDC,Quarry-Solana,0.0,0.02,,0.02,3.0,49214
DAI,Belt-BNB Chain,0.0,0.02,,0.02,3.0,2700000
TUSDUSDC,Uniswap-Ethereum,0.02,0.0,,0.02,3.0,10083721
EURS,Aave-Polygon,0.01,0.0,,0.01,3.0,5355847
